Absicoccus porci
Limosilactobacillus timonensis
Limosilactobacillus vaginalis
Limosilactobacillus vaginalis_A
Listeria grayi
Listeria innocua
Listeria monocytogenes
Listeria monocytogenes_B
Loigolactobacillus coryniformis
Longibaculum muris
Longicatena caecimuris
Lysinibacillus fusiformis_D
Marvinbryantia formatexigens
Massilibacterium senegalense
Massilicoli timonensis
Massilimaliae timonensis
Massilioclostridium coli
Massilioclostridium methylpentosum
Massilistercora timonensis
Mediterraneibacter_A butyricigenes
Mediterraneibacter faecis
Mediterraneibacter lactaris
Mediterraneibacter massiliensis
Mediterraneibacter torques
Megamonas funiformis
Megamonas hypermegale
Megasphaera cerevisiae
Megasphaera elsdenii
Megasphaera massiliensis
Megasphaera stantonii
Merdimonas faecis
Mesosutterella massiliensis
Mesosutterella multiformis
Metamycoplasma hominis
Methanobrevibacter_A oralis
Methanobrevibacter_A smithii
Methanobrevibacter_A smithii_A
Methanobrevibacter_A woesei
Methanomassiliicoccus_A intestinalis
Methanomassiliicoccus luminyensis
Methanomethylophilus alvus
Methanosphaera cuniculi
Methanosphaera stadtmanae
Micrococcus luteus
Microvirga massiliensis
Mitsuokella jalaludinii
Mitsuokella multacida
Mixta calida
Mobilibacterium timonense
Mobilicoccus massiliensis
Moellerella wisconsensis
Monoglobus pectinilyticus
Morganella morganii
Morganella morganii_A
Morganella morganii_B
Murdochiella massiliensis
Murdochiella vaginalis
Muribaculum intestinale
Muricomes contortus_B
Muricomes fissicatena_A
Muricomes oroticus
Murimonas intestini
Mycobacterium avium
Mycobacterium tuberculosis
Mycoplasmopsis bovis
Negativibacillus massiliensis
Negativicoccus massiliensis
Negativicoccus succinicivorans
Neisseria elongata
Neisseria gonorrhoeae
Neisseria macacae
Neisseria subflava_C
Neobacillus jeddahensis
Neobacillus rubiinfantis
Neobittarella massiliensis
Neofamilia massiliensis
Nesterenkonia massiliensis
Nigerium massiliense
Nitratidesulfovibrio vulgaris
Nosocomiicoccus massiliensis
Noviherbaspirillum massiliense
Numidum massiliense
Oceanobacillus caeni
Oceanobacillus jeddahense
Oceanobacillus massiliensis
Odoribacter laneus
Odoribacter massiliensis
Odoribacter splanchnicus
Olegusella massiliensis
Olsenella_E provencensis
Olsenella_E timonensis
Oribacterium sinus
Oscillibacter ruminantium
Oxalobacter formigenes
Oxalobacter formigenes_B
Paenibacillus_A antibioticophila
Paenibacillus_A ihumii
Paenibacillus amylolyticus
Paenibacillus_A phocaensis
Paenibacillus_A rubinfantis
Paenibacillus_A senegalimassiliensis
Paenibacillus_A tuaregi
Paenibacillus_B thiaminolyticus
Paenibacillus ihuae
Paenibacillus lactis
Paenibacillus lautus_A
Paenibacillus_L senegalensis
Paenibacillus odorifer
Paenibacillus polymyxa
Pantoea agglomerans
Pantoea ananatis
Pantoea anthophila
Pantoea brenneri
Pantoea conspicua
Pantoea eucalypti
Pantoea septica
Parabacteroides acidifaciens
Parabacteroides bouchesdurhonensis
Parabacteroides chinchillae
Parabacteroides distasonis
Parabacteroides faecis
Parabacteroides goldsteinii
Parabacteroides gordonii
Parabacteroides johnsonii
Parabacteroides massiliensis
Parabacteroides merdae
Parabacteroides timonensis
Paraclostridium bifermentans
Paraclostridium sordellii
Paraclostridium tenue
Paraeggerthella hongkongensis
Paraeggerthella hongkongensis_A
Paraprevotella clara
Paraprevotella xylaniphila
Parascardovia denticolens
Parasutterella excrementihominis
Parolsenella catena
Parolsenella massiliensis
Parolsenella uli_B
Parvimonas micra
Pauljensenia bouchesdurhonensis
Pauljensenia cardiffensis
Pauljensenia culturomici
Pauljensenia polynesiensis
Pauljensenia radingae_A
Pauljensenia turicensis
Pediococcus acidilactici
Pediococcus pentosaceus
Pelistega indica
Peptacetobacter hiranonis
Peptococcus niger
Peptoniphilus_A grossensis
Peptoniphilus_A harei
Peptoniphilus_A harei_A
Peptoniphilus_A lacrimalis
Peptoniphilus_A lacydonensis
Peptoniphilus_A phoceensis
Peptoniphilus_A raoultii
Peptoniphilus_A senegalensis
Peptoniphilus_B duerdenii
Peptoniphilus_C urinimassiliensis
Peptoniphilus_E obesi
Peptostreptococcus anaerobius
Peptostreptococcus russellii
Peptostreptococcus russellii_A
Peptostreptococcus stomatis
Peribacillus simplex
Phascolarctobacterium_A succinatutens
Phascolarctobacterium_A succinatutens_A
Phascolarctobacterium faecium
Phocaeicola barnesiae
Phocaeicola coprocola
Phocaeicola coprophilus
Phocaeicola dorei
Phocaeicola ilei
Phocaeicola massiliensis
Phocaeicola mediterraneensis
Phocaeicola plebeius
Phocaeicola plebeius_A
Phocaeicola salanitronis
Phocaeicola sartorii
Phocea massiliensis
Phoenicibacter congonensis
Phytobacter diazotrophicus
Phytobacter massiliensis
Phytobacter ursingii
Planococcus massiliensis
Plesiomonas shigelloides
Pluralibacter gergoviae
Porphyromonas_A bennonis
Porphyromonas asaccharolytica
Porphyromonas_A somerae
Porphyromonas endodontalis
Porphyromonas gingivalis
Porphyromonas pasteri
Porphyromonas uenonis
Porphyromonas uenonis_A
Prevotella amnii
Prevotella bergensis
Prevotella bivia
Prevotella brunnea
Prevotella buccae
Prevotella buccalis
Prevotella colorans
Prevotella copri_A
Prevotella corporis
Prevotella denticola
Prevotella disiens
Prevotella hominis
Prevotella intermedia
Prevotella jejuni
Prevotella lascolaii
Prevotellamassilia timonensis
Prevotella melaninogenica
Prevotella multisaccharivorax
Prevotella nigrescens
Prevotella oralis
Prevotella oris
Prevotella pectinovora
Prevotella rara
Prevotella salivae
Prevotella stercorea
Prevotella timonensis
Prevotella veroralis
Propionibacterium freudenreichii
Proteus cibarius
Proteus mirabilis
Proteus penneri
Proteus vulgaris
Providencia alcalifaciens
Providencia alcalifaciens_A
Providencia rettgeri
Providencia rettgeri_D
Providencia rustigianii
Providencia stuartii
Pseudescherichia vulneris
Pseudobutyrivibrio fibrisolvens_A
Pseudoflavonifractor capillosus
Pseudomonas aeruginosa
Pseudomonas_B luteola
Pseudomonas citronellolis
Pseudomonas_E bubulae
Pseudomonas_E extremaustralis
Pseudomonas_E fulva
Pseudomonas_E juntendi
Pseudomonas_E massiliensis
Pseudomonas_E putida_P
Pseudoruminococcus massiliensis
Pygmaiobacter massiliensis
Pyramidobacter piscolens
Rahnella variigena
Ralstonia pickettii
Raoultella ornithinolytica
Raoultibacter timonensis
Rikenella microfusus
Risungbinella massiliensis
Robertmurraya massiliosenegalensis
Robinsoniella peoriensis
Romboutsia dakarensis
Romboutsia timonensis
Roseburia hominis
Roseburia intestinalis
Rothia aeria
Rothia dentocariosa
Rothia mucilaginosa
Rothia mucilaginosa_A
Rothia mucilaginosa_B
Rothia terrae
Rubeoparvulum massiliense
Rubneribacter badeniensis
Ruminiclostridium_E siraeum
Ruminococcus_A faecicola
Ruminococcus_B gnavus
Ruminococcus_C callidus
Ruminococcus_D bicirculans
Ruminococcus_E bromii
Ruminococcus_E bromii_A
Ruminococcus_E bromii_B
Ruminococcus_F champanellensis
Ruminococcus_G gauvreauii
Ruthenibacterium lactatiformans
Salinicola tamaricis
Salmonella bongori
Salmonella enterica
Scardovia wiggsiae
Schaedlerella glycyrrhizinilytica
Schleiferilactobacillus harbinensis
Selenomonas_C bovis
Sellimonas intestinalis
Senegalimassilia anaerobia
Senegalimassilia faecalis
Serratia liquefaciens
Serratia marcescens_I
Serratia surfactantfaciens
Serratia ureilytica
Slackia_A isoflavoniconvertens
Slackia_A piriformis
Slackia exigua
Sneathia amnii
Sneathia sanguinegens
Sodaliphilus pleomorphus
Sphingomonas ginsenosidimutans
Sporanaerobacter acetigenes
Staphylococcus_A lentus
Staphylococcus argenteus
Staphylococcus aureus
Staphylococcus capitis
Staphylococcus epidermidis
Staphylococcus haemolyticus
Staphylococcus haemolyticus_A
Staphylococcus hominis
Staphylococcus lugdunensis
Staphylococcus nepalensis
Staphylococcus schleiferi
Staphylococcus warneri
Staphylococcus xylosus
Staphylococcus xylosus_B
Stenotrophomonas bentonitica_A
Stenotrophomonas maltophilia
Stenotrophomonas maltophilia_AK
Stenotrophomonas maltophilia_AM
Stenotrophomonas maltophilia_AQ
Stenotrophomonas maltophilia_F
Stenotrophomonas maltophilia_S
Stomatobaculum longum
Stomatobaculum naviforme
Stoquefichus massiliensis
Streptococcus agalactiae
Streptococcus alactolyticus
Streptococcus anginosus
Streptococcus anginosus_C
Streptococcus constellatus
Streptococcus equinus
Streptococcus gordonii
Streptococcus infantarius
Streptococcus infantis_I
Streptococcus koreensis
Streptococcus lutetiensis
Streptococcus mitis
Streptococcus mitis_AC
Streptococcus mitis_BB
Streptococcus mitis_D
Streptococcus mutans
Streptococcus oralis
Streptococcus oralis_E
Streptococcus oralis_S
Streptococcus oralis_W
Streptococcus parasanguinis
Streptococcus parasanguinis_B
Streptococcus pasteurianus
Streptococcus peroris
Streptococcus pseudopneumoniae_O
Streptococcus rubneri
Streptococcus salivarius
Streptococcus sanguinis_H
Streptococcus sobrinus
Streptococcus thermophilus
Streptococcus timonensis
Streptococcus vestibularis
Streptomyces albus
Succinatimonas hippei
Sutterella faecalis
Sutterella parvirubra
Sutterella seckii_A
Sutterella wadsworthensis
Sutterella wadsworthensis_A
Terrisporobacter glycolicus_A
Terrisporobacter othiniensis
Thalassobacillus devorans
Tidjanibacter inops_A
Timonella senegalensis
Treponema_D berlinense
Treponema_D succinifaciens
Turicibacter sanguinis
Turicimonas muris
Ureaplasma parvum
Ureibacillus endophyticus
Vagococcus teuberi
Varibaculum cambriense
Varibaculum cambriense_A
Varibaculum cambriense_B
Varibaculum massiliense
Varibaculum timonense
Veillonella_A magna
Veillonella_A seminalis
Veillonella atypica
Veillonella dispar
Veillonella dispar_A
Veillonella parvula_A
Veillonella rogosae
Veillonella tobetsuensis
Vibrio cholerae
Vibrio fluvialis
Vibrio furnissii
Vibrio metoecus
Vibrio parahaemolyticus
Vibrio vulnificus
Victivallis vadensis
Virgibacillus kapii
Virgibacillus picturae
Vitreoscilla massiliensis
Weissella cibaria
Weissella confusa
Weissella confusa_B
Weissella paramesenteroides
Weissella viridescens
Weizmannia coagulans
Winkia neuii
Xanthomonas_B massiliensis
Yersinia aleksiciae
Yersinia bercovieri
Yersinia enterocolitica
Yersinia frederiksenii
Yersinia frederiksenii_C
Yersinia intermedia
Yersinia kristensenii
Yersinia kristensenii_B
Yersinia massiliensis
Yersinia mollaretii
Yersinia pestis
Yokenella regensburgei
