1XD42-69 sp014287635
CAG-312 sp002405555
CAG-312 sp002437405
CAG-312 sp900545705
CAG-312 sp900545715
CAG-312 sp900546565
CAG-312 sp900548275
CAG-312 sp900760055
CAG-312 sp900760665
CAG-313 sp000433035
CAG-313 sp003539625
CAG-313 sp900539265
CAG-313 sp900760745
CAG-314 sp000437915
CAG-314 sp900551395
CAG-317 sp000433215
CAG-317 sp000433535
CAG-317 sp900543415
CAG-345 sp000433315
CAG-349 sp001940895
CAG-349 sp003539515
CAG-353 sp900066885
CAG-353 sp900768995
CAG-354 sp001915925
CAG-354 sp900552655
CAG-354 sp900553015
CAG-354 sp900555085
CAG-354 sp900754085
CAG-354 sp900759015
CAG-390 sp000437015
CAG-390 sp003523225
CAG-390 sp900753295
CAG-411 sp000437275
CAG-417 sp000432835
CAG-41 sp900066215
CAG-433 sp000433675
CAG-433 sp900546245
CAG-448 sp000433415
CAG-448 sp003150135
CAG-449 sp000432895
CAG-449 sp900551385
CAG-451 sp000438295
CAG-451 sp900758495
CAG-451 sp900760545
CAG-452 sp000434035
CAG-452 sp900770415
CAG-45 sp000438375
CAG-460 sp000437315
CAG-460 sp000437355
CAG-460 sp000438075
CAG-460 sp900544625
CAG-460 sp900546715
CAG-460 sp900551525
CAG-460 sp900751815
CAG-462 sp003489705
CAG-462 sp900291465
CAG-462 sp900765575
CAG-465 sp000433135
CAG-465 sp000433335
CAG-465 sp000433755
CAG-465 sp900554875
CAG-475 sp000434435
CAG-475 sp900547975
CAG-475 sp900548005
CAG-475 sp900549225
CAG-475 sp900550855
CAG-475 sp900550915
CAG-475 sp900551145
CAG-475 sp900763875
CAG-475 sp900769205
CAG-484 sp000431315
CAG-484 sp900321895
CAG-484 sp900554385
CAG-485 sp000437495
CAG-485 sp001701295
CAG-485 sp002361235
CAG-485 sp002491165
CAG-485 sp900321585
CAG-485 sp900541835
CAG-485 sp900542185
CAG-485 sp900547755
CAG-485 sp900549375
CAG-485 sp900550645
CAG-485 sp900552315
CAG-485 sp900554345
CAG-485 sp900554845
CAG-485 sp900555915
CAG-485 sp900556595
CAG-485 sp900759795
CAG-485 sp900760735
CAG-485 sp900760815
CAG-485 sp900760885
CAG-485 sp900761855
CAG-485 sp900766975
CAG-485 sp900767075
CAG-488 sp000434055
CAG-488 sp000434915
CAG-488 sp003486665
CAG-488 sp900539465
CAG-488 sp900554995
CAG-492 sp000434015
CAG-492 sp000434335
CAG-492 sp900553225
CAG-492 sp900557045
CAG-492 sp900557195
CAG-495 sp000432275
CAG-495 sp000436375
CAG-495 sp001917125
CAG-495 sp900538765
CAG-495 sp900540425
CAG-495 sp900551585
CAG-495 sp900762585
CAG-510 sp000434615
CAG-510 sp900550475
CAG-510 sp900551115
CAG-521 sp000437635
CAG-521 sp002329575
CAG-521 sp900544345
CAG-521 sp900545335
CAG-521 sp900546995
CAG-521 sp900553105
CAG-521 sp900554675
CAG-521 sp902388655
CAG-533 sp000434495
CAG-533 sp004563275
CAG-533 sp900551105
CAG-533 sp900553855
CAG-552 sp000435495
CAG-557 sp000435275
CAG-568 sp000434395
CAG-56 sp900539525
CAG-56 sp900752065
CAG-56 sp900762665
CAG-582 sp000435515
CAG-582 sp900760845
CAG-590 sp000431135
CAG-590 sp900544905
CAG-590 sp900548855
CAG-590 sp900552885
CAG-590 sp900769115
CAG-594 sp000434835
CAG-594 sp900759985
CAG-594 sp900766325
CAG-594 sp900771805
CAG-594 sp900772415
CAG-603 sp900066105
CAG-605 sp000433255
CAG-605 sp000433475
CAG-605 sp900545005
CAG-611 sp000434175
CAG-611 sp900552235
CAG-617 sp000431275
CAG-617 sp000438115
CAG-617 sp900553285
CAG-628 sp000438415
CAG-628 sp003524085
CAG-628 sp900553835
CAG-631 sp000433015
CAG-631 sp900754115
CAG-631 sp900762575
CAG-632 sp000431515
CAG-632 sp002406015
CAG-632 sp900539185
CAG-698 sp000431235
CAG-710 sp000432595
